date clock	rpc	read_mb	write_mb	lread_mb	lwrite_mb	inode_req	inode_miss	small_req	small_miss	large_req	large_miss	meta_req	meta_miss	ior_mb	iow_mb	im	om	ras	ra	
2017-03-14 00:38:32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017-03-14 00:38:33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017-03-14 00:38:34	2	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	
2017-03-14 00:38:35	4	0	0	0	0	2	1	0	0	2	0	3	1	0	0	0	0	0	0	
2017-03-14 00:38:36	96	0	0	0	0	301	26	0	0	0	0	25	14	0	0	0	0	0	0	
2017-03-14 00:38:37	1324	0	0	94	0	1477	115	0	0	30551	24797	1499	344	195	0	0	0	115	172	
2017-03-14 00:38:38	6011	0	0	737	0	7076	0	0	0	171263	93510	3903	182	731	0	0	1	572	761	
2017-03-14 00:38:39	5102	0	0	613	0	5966	0	0	0	141224	80910	3806	174	634	0	0	1	456	656	
2017-03-14 00:38:40	1829	0	0	228	0	2123	0	0	0	47320	23590	1224	38	184	0	0	0	158	200	
2017-03-14 00:38:41	19	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	
2017-03-14 00:38:42	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
